,label,data,x,y
0,0,brazils petrobras fires manager probe share trades,-0.046006566261956816,-0.0934523677829526
1,3,saudi wants opec extend oil cuts mayjune source,-0.04834980165518074,0.09820276719909786
2,2,global reinsurers stare massive losses suez canal blockage fitch says,0.2516559884145906,0.006828689993693085
3,0,islamic state claims deadly attack northern mozambique town,-0.04094760290935576,-0.0550088565631597
4,3,exclusive shell cosan jv raizen taps banks megaipo brazil sources,-0.025228206548610153,0.0281563647955149
5,1,oil rises traders expect opec hold output cuts,-0.06215734505705582,0.08932519391568694
6,0,mexico says miners returning permits avoid taxes,-0.026817099141225622,0.02260672819302858
7,6,india us agree revamp strategic energy partnership,-0.024432577649538757,0.0039099348147705985
8,0,iraq signs heads agreement total four energy projects,-0.04903436994748708,-0.4857492563784723
9,4,norway readies first offshore wind tenders spur oil industry transition,-0.02455353181776013,0.03551115421372284
10,4,biden targets big offshore wind power expansion fight climate change,-0.02958788948323031,0.08436984944752655
11,3,murkowski faces new republican challenger drawing trumps ire,-0.02556755396312836,0.011870886336879981
12,4,biden explain funding trillion infrastructure plan wednesday white house,-0.07280127285990538,0.33832606088776196
13,0,brazils petrobras fires manager probe share trades,-0.045873788427028855,-0.09300814433175468
14,3,saudi wants opec extend oil cuts mayjune source,-0.04828248873489857,0.09785252169912899
15,2,global reinsurers stare massive losses suez canal blockage fitch says,0.25165576656785044,0.006828385196723436
16,0,islamic state claims deadly attack northern mozambique town,-0.040947602909355785,-0.05500885656315969
17,3,exclusive shell cosan jv raizen taps banks megaipo brazil sources,-0.025226873239441353,0.028080764020185667
18,1,oil rises traders expect opec hold output cuts,-0.062157379088176305,0.08932537098689279
19,0,mexico says miners returning permits avoid taxes,-0.0268170991412256,0.022606728193028704
20,6,india us agree revamp strategic energy partnership,-0.02443257764953872,0.0039099348147704875
21,0,iraq signs heads agreement total four energy projects,-0.0488772459779228,-0.48358306817334495
22,4,norway readies first offshore wind tenders spur oil industry transition,-0.024554656114069418,0.035593968432763017
23,4,biden targets big offshore wind power expansion fight climate change,-0.02958977284978874,0.08461562206458083
24,3,murkowski faces new republican challenger drawing trumps ire,-0.0255662683700792,0.011840559269121087
25,4,biden explain funding trillion infrastructure plan wednesday white house,-0.07258525571868595,0.33682895588337136
26,0,indonesia pertamina aims restarts refinery days blaze,-0.019446890819130345,-0.006109054175553235
27,0,iran china sign year cooperation agreement,-0.03051991244170307,-0.23051964360342128
28,0,column oil prices hit wave hedge fund profittaking,-0.02478285294491643,-0.009484563726686912
29,6,explainer nigerias central bank wont ease grip naira,-0.024684876983276247,-0.0003973626567119916
30,5,union urges shareholders vote marathon exec pay letter,-0.026010547120203207,0.007356954746991696
31,1,russia supports opec oil output rollover may seeks small rise source,-0.044019568498633956,0.05051828226242871
